project,claim,passed,observed,operator,threshold,metric
abaqus-energy-absorber,absorbed-fraction,True,True,==,True,results/analysis.json/acceptance/energyFractionMatchesReport
abaqus-energy-absorber,specific-energy-gain,True,True,==,True,results/analysis.json/acceptance/specificEnergyGainAboveTwo
abaqus-energy-absorber,energy-closure,True,True,==,True,results/analysis.json/acceptance/energyClosureBelowPointOnePercent
abaqus-energy-absorber,artificial-energy,True,True,==,True,results/analysis.json/acceptance/artificialEnergyBelowOnePercent
airfoil-methods,linear-lift-rmse,True,0.08235000596158368,<=,0.1,results/analysis.json/linearLift/hessSmithRmse
airfoil-methods,linear-lift-slope,True,0.13828082296989544,<=,0.15,results/analysis.json/linearLift/hessSmithSlopeRelativeError
airfoil-methods,panel-refinement,True,0.00030715996551477885,<=,0.01,results/analysis.json/panelRefinementAtFourDegrees/relativeChange160To240
airfoil-methods,drag-blind-spot,True,True,==,True,results/analysis.json/acceptance/inviscidDragBlindSpotIsExplicit
dimensionless-numbers,reference-reynolds-machine-exact,True,0.0,<=,1e-12,results/analysis.json/referenceCaseWorstRelativeError
dimensionless-numbers,rayleigh-grashof-prandtl-identity,True,4.403170223828359e-16,<=,1e-12,results/analysis.json/identityRaGrPr/maxRelativeError
dimensionless-numbers,guard-rejection-coverage,True,10,==,10,results/analysis.json/unitGuards/rejectedCount
dimensionless-numbers,property-anchor-exactness,True,20,==,20,results/analysis.json/propertyTable/anchorExactMatches
f1-2026-aero,drag-confidence,True,0.6448512475311386,<,1,results/pilot-analysis.json/correctedPilot/Cd/relative_ci_percent
f1-2026-aero,lift-confidence,True,0.5897989853845276,<,1,results/pilot-analysis.json/correctedPilot/Cl/relative_ci_percent
f1-2026-aero,force-groups,True,True,==,True,results/pilot-analysis.json/acceptance/allSevenForceOutputsPresent
f1-2026-aero,failure-preserved,True,True,==,True,results/pilot-analysis.json/acceptance/failedRunRemainsVisible
f1-2026-aero,baseline-boundary,True,False,==,False,results/pilot-analysis.json/baseline/completed
f1-2026-aero,front-wing-qualification-no-go,True,True,==,True,results/pilot-analysis.json/acceptance/frontWingQualificationMeshPassCountZero
f1-2026-aero,bounded-qualification-paths,True,20,==,20,results/pilot-analysis.json/frontWingQualification/boundedPathCount
f1-2026-aero,bounded-surface-repair-rejected,True,False,==,False,results/pilot-analysis.json/frontWingQualification/surfaceRepairCampaign/budgetEdgeCandidate/meshPass
f1-2026-aero,external-topology-volume-rejected,True,0,==,0,results/qualification-summary.json/external_discrete_campaign/volumeElements
f1-rans-campaign,nine-valid-variants,True,True,==,True,results/analysis.json/acceptance/nineVariantsPass
f1-rans-campaign,diverged-excluded,True,True,==,True,results/analysis.json/acceptance/twoDivergedRunsExcluded
f1-rans-campaign,baseline-signs,True,True,==,True,results/analysis.json/acceptance/baselinePresent
f1-rans-campaign,mesh-uncertainty-visible,True,True,==,True,results/analysis.json/acceptance/pilotMeshSensitivityRemainsMaterial
flowlab,u-centerline-rmse,True,0.0028640901117929765,<=,0.01,results/validation.json/cases/2/uCenterlineRmse
flowlab,v-centerline-rmse,True,0.002023614927851531,<=,0.01,results/validation.json/cases/2/vCenterlineRmse
flowlab,mass-conservation,True,2.5575097595265106e-12,<=,1e-09,results/validation.json/cases/2/relativeMassDrift
flowlab,all-grids-converged,True,True,==,True,results/validation.json/acceptance/converged
flowrom,pod-holdout-error,True,0.0012341728231584426,<=,0.02,results/analysis.json/pod/holdoutRelativeFluctuationErrors/8
flowrom,frequency-recovery,True,9.265513541689696e-06,<=,0.05,results/analysis.json/dmd/dominantFrequencyRelativeError
flowrom,dmd-holdout-error,True,0.0010049685338576688,<=,0.02,results/analysis.json/dmd/holdoutFullStateRelativeError
